,Baseline,wo IT,wo BT,wo RT,wo FF,wo IFT,BSST,BHST,IDST,RLST,FBST,IFST
1,0.525738358,0.522167203,0.528884157,0.52889164,0.52424416,0.507563054,0.011970452,0.01445261,0.010909263,0.012262633,0.01180033,0.009916627
2,0.53305182,0.530225064,0.536706257,0.536605291,0.528700603,0.515588808,0.014479374,0.017420616,0.013613692,0.015619012,0.014138734,0.014912727
3,0.57582001,0.570402691,0.583827262,0.573636523,0.569030953,0.539204992,0.033574943,0.040745707,0.035442765,0.037658143,0.038740348,0.02832835
4,0.604585471,0.595027631,0.616542037,0.595881178,0.590254467,0.552676335,0.053256198,0.060625662,0.054354404,0.059410159,0.055348738,0.037057733
5,0.621951443,0.607866287,0.630995621,0.609778893,0.60117135,0.559963455,0.064917575,0.069299744,0.063873625,0.071748073,0.064891392,0.043287965
6,0.62778396,0.611339329,0.636719324,0.614212493,0.606741639,0.563383675,0.069663262,0.074116287,0.067962216,0.074993858,0.06742399,0.046837174
7,0.629404729,0.612241912,0.639264114,0.615746973,0.607750111,0.564455838,0.071512045,0.076219195,0.069796083,0.075943509,0.068430912,0.048358497
8,0.629985572,0.612711255,0.640357676,0.61581287,0.608135326,0.564640504,0.071994663,0.076654837,0.070044813,0.076191494,0.068719146,0.048901917
9,0.63007237,0.612847939,0.640239051,0.616206473,0.608243802,0.564856321,0.07233095,0.076711851,0.070113907,0.076099326,0.068735257,0.049365571
10,0.629955884,0.613024895,0.640551352,0.61634051,0.608214983,0.564804831,0.072416504,0.076680903,0.069879508,0.076036391,0.068744591,0.049588992